Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
Graduate,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,453,48,1093,Alone,0,1,0
Graduate,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,62,26,29,Alone,1,2,1
Postgraduate,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,118,46,518,Partner,1,3,1
Postgraduate,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,360,32,1438,Alone,0,1,0
Graduate,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,660,39,612,Partner,2,4,1
Graduate,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,496,62,884,Alone,1,2,1
Postgraduate,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,383,63,606,Alone,1,2,1
Graduate,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,205,66,1076,Partner,0,2,0
Graduate,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,404,43,34,Partner,1,3,1
Graduate,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,49,47,11,Partner,2,4,1
Undergraduate,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,102,35,1274,Alone,1,2,1
Graduate,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,275,56,653,Partner,1,3,1
Graduate,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,447,44,1562,Partner,3,5,1
Postgraduate,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,656,60,1253,Partner,0,2,0
Graduate,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,469,55,863,Partner,1,3,1
Postgraduate,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,450,39,661,Partner,2,4,1
Graduate,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,60,62,65,Partner,0,2,0
Graduate,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,557,37,13,Alone,1,2,1
Postgraduate,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,671,42,1890,Partner,0,2,0
Graduate,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,625,38,2209,Alone,0,1,0
Undergraduate,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,298,38,18,Partner,0,2,0
Graduate,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,543,49,692,Partner,0,2,0
Graduate,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,669,29,165,Alone,1,2,1
Graduate,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,371,45,16,Partner,1,3,1
Undergraduate,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,361,41,79,Partner,1,3,1
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,414,51,318,Partner,0,2,0
Graduate,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,124,27,778,Alone,0,1,0
Graduate,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,322,54,56,Partner,2,4,1
Postgraduate,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,348,44,151,Partner,2,4,1
Graduate,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,32,57,372,Alone,1,2,1
Graduate,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,48,41,1366,Partner,0,2,0
Graduate,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,159,47,194,Partner,1,3,1
Postgraduate,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,98,42,32,Alone,1,2,1
Postgraduate,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,36,44,43,Partner,1,3,1
Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,38,31,45,Partner,1,3,1
Graduate,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,584,54,606,Alone,1,2,1
Graduate,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,444,42,63,Alone,2,3,1
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,210,63,978,Partner,0,2,0
Postgraduate,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,374,31,410,Partner,0,2,0
Undergraduate,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,341,54,72,Alone,1,2,1
Postgraduate,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,91,55,55,Alone,1,2,1
Graduate,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,435,35,1169,Partner,1,3,1
Postgraduate,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,408,69,1120,Partner,0,2,0
Graduate,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,52,55,1097,Partner,0,2,0
Undergraduate,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,201,35,29,Partner,1,3,1
Graduate,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,278,50,187,Partner,2,4,1
Graduate,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,512,45,910,Partner,2,4,1
Graduate,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,557,36,145,Alone,1,2,1
Postgraduate,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,569,54,850,Partner,0,2,0
Graduate,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,239,35,969,Partner,1,3,1
Postgraduate,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,596,23,1820,Alone,0,1,0
Postgraduate,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,4,51,608,Partner,1,3,1
Graduate,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,543,23,730,Alone,0,1,0
Postgraduate,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,564,34,551,Partner,1,3,1
Graduate,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,292,52,114,Alone,2,3,1
Graduate,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,156,44,1724,Partner,0,2,0
Undergraduate,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,495,36,577,Partner,1,3,1
Undergraduate,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,353,47,81,Partner,2,4,1
Graduate,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,227,45,33,Partner,1,3,1
Postgraduate,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,374,61,660,Partner,1,3,1
Postgraduate,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,125,47,80,Alone,1,2,1
Postgraduate,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,298,29,30,Partner,2,4,1
Graduate,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,433,38,43,Alone,1,2,1
Graduate,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,474,31,1135,Alone,0,1,0
Undergraduate,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,496,49,559,Partner,0,2,0
Graduate,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,434,30,1923,Alone,0,1,0
Postgraduate,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,21,61,90,Partner,2,4,1
Postgraduate,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,50,58,661,Partner,2,4,1
Graduate,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,272,62,463,Partner,1,3,1
Postgraduate,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,476,56,632,Alone,2,3,1
Graduate,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,139,45,725,Partner,0,2,0
Postgraduate,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,319,50,279,Partner,2,4,1
Postgraduate,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,469,47,1482,Partner,0,2,0
Undergraduate,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,690,38,29,Alone,1,2,1
Postgraduate,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,357,55,106,Partner,3,5,1
Postgraduate,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,41,41,49,Alone,2,3,1
Postgraduate,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,336,49,38,Alone,2,3,1
Postgraduate,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,618,22,2077,Alone,0,1,0
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,227,38,1053,Partner,1,3,1
Graduate,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,436,52,1385,Partner,0,2,0
Postgraduate,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,305,40,871,Alone,1,2,1
Graduate,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,467,26,312,Partner,1,3,1
Graduate,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,619,38,877,Partner,2,4,1
Graduate,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,609,39,68,Partner,1,3,1
Graduate,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,305,33,22,Partner,1,3,1
Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,676,41,211,Partner,3,5,1
Postgraduate,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,8,48,127,Partner,0,2,0
Postgraduate,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,66,61,459,Partner,2,4,1
Graduate,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,114,45,460,Partner,1,3,1
Undergraduate,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,562,42,429,Partner,1,3,1
Graduate,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,48,26,89,Alone,1,2,1
Postgraduate,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,628,62,1021,Partner,1,3,1
Graduate,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,495,65,1381,Partner,0,2,0
Graduate,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,356,56,306,Alone,1,2,1
Graduate,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,290,36,18,Alone,3,4,1
Graduate,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,255,37,162,Partner,1,3,1
Graduate,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,313,59,1231,Alone,0,1,0
Postgraduate,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,363,56,13,Alone,3,4,1
Postgraduate,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,601,69,1706,Partner,0,2,0
Graduate,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,175,30,121,Partner,1,3,1
Postgraduate,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,424,39,1293,Alone,0,1,0
Postgraduate,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,120,41,1608,Partner,1,3,1
Graduate,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,228,48,88,Partner,3,5,1
Graduate,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,223,61,421,Alone,0,1,0
Graduate,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,305,55,259,Alone,0,1,0
Graduate,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,239,26,1117,Alone,0,1,0
Graduate,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,124,57,89,Partner,2,4,1
Graduate,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,69,49,36,Partner,2,4,1
Graduate,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,351,32,57,Partner,1,3,1
Graduate,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,69,44,148,Partner,2,4,1
Postgraduate,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,150,55,93,Partner,2,4,1
Graduate,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,86,47,119,Alone,1,2,1
Postgraduate,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,655,39,1835,Partner,1,3,1
Postgraduate,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,560,66,1318,Partner,0,2,0
Postgraduate,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,37,44,45,Partner,2,4,1
Graduate,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,5,55,10,Partner,3,5,1
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,210,63,978,Partner,0,2,0
Postgraduate,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,49,38,191,Partner,1,3,1
Undergraduate,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,50,26,57,Partner,1,3,1
Postgraduate,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,274,68,1033,Partner,0,2,0
Postgraduate,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,158,30,66,Partner,1,3,1
Undergraduate,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,14,53,43,Partner,0,2,0
Graduate,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,571,31,50,Partner,1,3,1
Postgraduate,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,113,44,39,Alone,1,2,1
Graduate,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,331,48,608,Partner,1,3,1
Graduate,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,467,38,1581,Partner,0,2,0
Postgraduate,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,491,50,68,Partner,2,4,1
Undergraduate,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,658,36,80,Partner,1,3,1
Postgraduate,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,408,25,1282,Partner,0,2,0
Graduate,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,395,26,91,Partner,1,3,1
Graduate,51148.0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,496,41,315,Partner,2,4,1
Graduate,31353.0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,182,37,31,Partner,2,4,1
Postgraduate,69661.0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,47,34,834,Partner,0,2,0
Graduate,80067.0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,283,60,1600,Partner,0,2,0
Graduate,86718.0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,528,60,1270,Partner,0,2,0
Postgraduate,46854.0,1,1,81,96,1,79,7,1,79,6,5,1,3,8,90,41,263,Alone,2,3,1
Graduate,69142.0,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,62,535,Alone,1,2,1
Graduate,75922.0,0,0,60,265,138,553,224,23,92,1,4,4,9,1,202,46,1295,Alone,0,1,0
Graduate,63693.0,0,1,63,587,43,337,42,87,54,3,11,6,9,6,258,36,1150,Alone,1,2,1
Postgraduate,102160.0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,604,37,1240,Partner,0,2,0
Postgraduate,40637.0,1,1,72,22,0,13,0,0,3,2,1,0,3,7,347,49,38,Alone,2,3,1
Postgraduate,18890.0,0,0,5,6,4,1,7,2,15,1,0,1,2,6,596,30,35,Alone,0,1,0
Graduate,29604.0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,203,26,53,Partner,1,3,1
Postgraduate,48721.0,1,1,50,81,18,113,47,13,21,6,4,2,5,6,412,51,293,Alone,2,3,1
Graduate,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,21,48,65,Partner,1,3,1
Graduate,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,657,60,1804,Alone,1,2,1
Graduate,46097.0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,455,58,241,Partner,1,3,1
Graduate,77972.0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,103,60,1101,Partner,0,2,0
Postgraduate,44377.0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,632,46,264,Partner,2,4,1
Postgraduate,46014.0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,524,40,541,Partner,2,4,1
Graduate,70951.0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,421,29,1198,Partner,0,2,0
Graduate,41443.0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,89,37,482,Partner,1,3,1
Undergraduate,52195.0,2,1,2,12,0,4,0,0,1,1,1,0,2,8,48,36,17,Alone,3,4,1
Postgraduate,83790.0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,226,66,1615,Partner,0,2,0
Postgraduate,44551.0,0,1,24,182,4,33,0,0,66,2,4,1,5,7,302,60,285,Alone,1,2,1
Graduate,69508.0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,592,34,1135,Partner,1,3,1
Undergraduate,45204.0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,79,26,114,Partner,1,3,1
Graduate,72460.0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,227,45,1047,Partner,0,2,0
Postgraduate,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,76,44,714,Partner,2,4,1
Postgraduate,30732.0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,540,34,185,Partner,1,3,1
Graduate,63887.0,0,1,38,897,23,207,15,11,92,5,9,6,12,6,659,52,1245,Alone,1,2,1
Graduate,42011.0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,460,36,189,Partner,1,3,1
Graduate,51369.0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,612,38,576,Partner,1,3,1
Graduate,51537.0,0,1,27,787,20,204,0,0,92,3,2,2,11,8,567,62,1103,Alone,1,2,1
Postgraduate,79930.0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,690,42,1753,Partner,0,2,0
Postgraduate,34320.0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,133,28,17,Partner,1,3,1
Graduate,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,466,48,433,Alone,2,3,1
Undergraduate,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,540,52,1588,Alone,1,2,1
Graduate,38590.0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,410,43,22,Partner,1,3,1
Graduate,15033.0,0,0,37,0,4,5,6,0,4,1,1,0,3,3,74,63,19,Alone,0,1,0
Postgraduate,62745.0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,463,49,1117,Partner,1,3,1
Undergraduate,22212.0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,202,39,69,Partner,1,3,1
Postgraduate,23661.0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,207,32,23,Partner,1,3,1
Postgraduate,79761.0,0,1,32,415,5,124,15,35,11,1,5,2,11,3,268,56,605,Alone,1,2,1
Graduate,7500.0,1,0,54,5,3,10,12,7,20,4,3,1,3,7,185,41,57,Alone,1,2,1
Graduate,73455.0,0,0,98,901,61,757,186,163,20,1,6,5,10,3,244,46,2088,Alone,0,1,0
Graduate,64961.0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,553,56,1009,Partner,1,3,1
Graduate,22804.0,1,0,75,14,1,7,2,1,1,1,2,0,2,9,333,43,26,Alone,1,2,1
Graduate,73687.0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,213,24,1627,Partner,0,2,0
Graduate,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,681,56,1102,Partner,1,3,1
Postgraduate,31686.0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,24,50,17,Partner,2,4,1
Graduate,80134.0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,405,42,1690,Partner,1,3,1
Graduate,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,536,61,1390,Partner,1,3,1
Postgraduate,67546.0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,667,26,2126,Partner,0,2,0
Postgraduate,65176.0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,608,45,1531,Partner,1,3,1
Postgraduate,31160.0,1,0,59,16,3,25,6,1,13,2,2,0,3,8,286,39,64,Alone,1,2,1
Graduate,29938.0,1,0,52,3,3,7,0,2,11,2,1,0,3,6,245,29,26,Alone,1,2,1
Graduate,102692.0,0,0,5,168,148,444,32,172,148,1,6,9,13,2,450,40,1112,Alone,0,1,0
Undergraduate,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,645,56,210,Partner,0,2,0
Graduate,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,669,47,1148,Partner,2,4,1
Postgraduate,30899.0,1,0,35,24,0,8,0,0,1,2,1,0,3,6,624,40,33,Alone,1,2,1
Postgraduate,63342.0,0,1,48,918,21,118,13,10,21,3,8,3,5,6,621,53,1101,Partner,1,3,1
Graduate,45989.0,0,1,97,138,33,87,28,24,12,4,3,2,7,3,615,50,322,Alone,1,2,1
Graduate,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,390,50,44,Alone,2,3,1
Postgraduate,40737.0,2,1,24,11,0,4,0,0,2,1,1,0,2,8,203,57,17,Alone,3,4,1
